,Vehicle,Location,Price,Kms,Model
1,Mahindra Xuv500 XUV500 W8,Akota,"₹ 9,50,000"," 77,000 km",2015 
2,Maruti Suzuki Ciaz,Dugri Urban Estate,"₹ 8,70,000"," 17,000 km",2018 
3,Maruti Suzuki Esteem Di,Sanganur,"₹ 1,35,000"," 67,000 km",2003 
4,Hyundai Santro Xing Xs,Vijaya Nagar,"₹ 1,68,000"," 65,000 km",2004 
5,Honda City Zx ZX GXi,Perambur,"₹ 2,25,000"," 90,000 km",2007 
6,Datsun Redi Go Redi-Go D,Kochi University,"₹ 2,80,690", 0 km,2019 
7,Dickey back door cable assy,Nagarwada,₹ 350,-,-
8,R g handle.,Anmol Nagar,₹ 105,-,-
9,R g handle,Anmol Nagar,₹ 64,-,-
10,Outer handle l/r,Anmol Nagar,₹ 100,-,-
11,Fiat Punto Dynamic 1.4,Nagavara,"₹ 3,95,000"," 61,660 km",2013 
12,Maruti Suzuki Swift ZXi,Andheri East,"₹ 2,65,000"," 43,699 km",2010 
13,Audi A6 2.0 TDI Premium Plus,Chittaranjan Park,"₹ 18,25,000"," 75,000 km",2014 
14,Toyota Fortuner 4x2 AT,Kirti Nagar,"₹ 13,25,000"," 86,000 km",2012 
15,Toyota Innova 2.5 G BS III 7 STR,Bhakti Nagar,"₹ 7,50,000"," 83,000 km",2010 
16,Skoda Rapid 1.5 Tdi Cr Ambition,Bhakti Nagar,"₹ 2,90,000"," 61,000 km",2012 
17,Hyundai Eon D-lite +,Bhakti Nagar,"₹ 2,20,000"," 46,000 km",2012 
18,Mahindra Xylo D4 BS-III,Bhakti Nagar,"₹ 5,00,000"," 65,000 km",2011 
19,Good condition car,Airoli,"₹ 16,25,000"," 35,000 km",2014 
20,Hyundai I10 Magna,Jangpura,"₹ 1,50,000"," 68,311 km",2008 
